Act,Frequency
0,798481
1,466525
4,205239
288,132638
16,123010
289,113969
64,92560
481,44501
193,43912
5,41319
65,40695
385,40198
97,36958
192,35119
480,33948
384,31341
96,27543
2,24376
576,23641
577,22906
17,22864
320,21076
290,17376
322,16276
68,16188
321,14533
80,14508
256,13971
291,12663
3,11794
292,11754
18,11554
8640,11515
352,11446
673,11084
769,10568
257,9519
293,9433
640,8646
832,8515
323,7999
160,7845
353,7723
768,7155
161,6958
672,6913
736,6665
545,5562
449,5477
641,5451
448,5350
513,5208
592,5133
544,4999
512,4797
208,4646
833,4590
389,4382
485,4316
737,4307
752,4207
417,3600
3456,3547
416,3472
304,3104
656,3073
2592,3055
112,2782
4320,2761
514,2744
848,2682
272,2598
1728,2335
5184,2281
32,2188
418,2138
484,2075
6048,2022
388,2021
593,1947
515,1935
356,1847
387,1817
101,1691
386,1662
69,1638
483,1558
6912,1499
176,1470
197,1449
482,1358
419,1267
81,1251
3457,1238
864,1224
209,1145
100,1141
2593,1138
196,1008
19,1008
368,964
1729,963
7776,942
113,933
40,867
305,841
357,815
194,764
4321,737
578,730
195,703
784,690
5185,651
1732,630
549,552
33,534
99,521
579,513
6,503
868,483
3744,479
657,479
453,477
580,468
865,468
688,425
849,386
294,379
581,377
98,375
273,364
6049,360
785,353
2880,351
400,341
496,333
464,330
4608,327
3520,321
548,311
3745,302
1792,298
6913,288
560,273
2016,271
165,271
689,264
2656,262
369,258
4609,252
66,247
452,244
4384,238
5472,236
497,231
261,219
753,217
295,209
6112,207
324,202
5248,199
401,199
677,196
2881,194
674,190
67,186
2017,180
675,180
129,173
8,170
773,167
260,164
771,162
6976,162
770,157
6336,157
177,154
36,153
7777,147
1733,143
7200,142
676,134
5761,133
772,132
325,132
928,128
4896,124
5473,124
4032,123
128,121
326,119
164,118
1152,115
1153,114
561,113
5760,108
225,107
7840,106
224,103
8064,102
6337,100
1793,98
3168,92
41,92
354,88
355,86
4704,84
2976,82
82,82
306,79
336,77
3648,75
7201,75
741,74
2596,73
3840,73
869,73
327,73
6624,69
3841,67
3936,65
4096,64
1796,64
6432,64
3552,63
337,63
5568,62
5569,62
4801,61
528,59
3937,58
5664,58
4417,56
6528,55
2785,55
465,55
2784,54
3460,54
4416,54
705,54
3072,54
2209,54
8065,53
5536,53
4800,52
1345,52
4033,51
5665,51
4672,51
338,51
4897,50
6240,50
2688,49
644,49
2689,48
7488,47
6144,47
594,47
5376,47
3553,46
5824,46
48,46
3073,45
1921,45
6529,44
4960,44
4512,44
5280,44
2977,43
4705,43
2944,43
2657,43
4513,41
2304,41
7392,41
7008,41
7393,41
837,41
1920,40
3808,40
7104,40
390,40
6241,39
7105,38
5281,38
3649,38
421,37
8352,37
3169,37
2080,37
517,37
6433,37
3232,36
929,36
6400,35
516,35
2113,34
7296,34
5249,34
391,34
608,34
2208,33
3521,33
7297,33
704,32
6145,32
2112,32
3264,30
5377,30
1344,30
131,30
3616,30
6625,30
6688,30
645,30
800,30
801,30
1825,29
4385,29
7009,28
4128,28
529,28
7552,28
339,28
34,27
6113,27
7968,27
6304,26
4576,26
1440,25
7489,25
5440,25
72,25
5856,24
4480,24
114,24
6496,24
610,24
2912,23
3776,23
7264,23
1824,23
5056,23
8257,23
595,22
4768,22
3712,22
210,22
5857,21
2597,21
8160,21
420,21
7872,21
3458,21
836,21
5632,21
20,20
3040,20
546,20
3904,20
7873,20
486,20
740,20
7360,20
2018,20
307,20
4992,19
5920,19
4864,19
5344,19
6977,19
1216,19
4288,19
7969,19
9,19
803,19
35,19
4640,18
547,18
609,18
6052,17
5952,17
4129,17
4192,17
2305,17
3746,17
487,17
3265,17
5537,17
8256,17
450,17
258,17
2048,16
5188,16
6817,16
5728,16
2608,16
4324,16
2752,16
7072,16
4097,16
611,16
834,16
5504,15
1056,15
4673,15
3360,15
6208,15
8353,15
4224,15
451,15
3472,15
4993,14
5088,14
642,14
6592,14
1057,14
6016,14
7680,14
2882,14
2021,14
3461,14
422,14
3747,13
7232,13
6368,13
7168,13
4481,13
5152,13
8416,13
7,13
2020,13
115,13
8161,13
8128,13
7584,12
3328,12
1504,12
2945,12
83,12
643,12
4000,12
6305,12
518,12
4193,12
6720,12
802,12
1156,12
130,12
6401,12
3778,11
7841,11
2176,11
1248,11
1984,11
7648,11
1797,11
2081,11
3329,11
6816,11
1441,11
3361,11
8449,10
4577,10
7744,10
5505,10
8032,10
2848,10
5345,10
8448,10
5953,10
3777,10
297,10
4642,9
2368,9
4336,9
8544,9
7456,9
519,9
5441,9
3809,9
3136,9
1157,9
4225,9
1154,9
4289,9
7780,9
6064,8
3969,8
707,8
6369,8
4641,8
6880,8
6593,8
2049,8
3617,8
5474,8
6784,8
3424,8
5089,8
52,8
7936,8
2849,8
4961,8
423,8
1217,8
227,8
3041,8
2400,7
3105,7
706,7
2913,7
7073,7
2595,7
960,7
5729,7
5633,7
6881,7
1633,7
7681,7
1249,7
5696,7
8224,7
658,7
932,7
2594,7
1312,7
3233,7
961,7
2753,7
6338,7
73,7
6497,7
7169,6
3104,6
7457,6
8608,6
5057,6
1888,6
2914,6
6561,6
403,6
4865,6
2978,6
4611,6
2177,6
433,6
432,6
4034,6
5825,6
226,6
4610,6
1985,6
2401,5
2497,5
8033,5
582,5
4001,5
7745,5
3170,5
2084,5
4769,5
7585,5
1632,5
1744,5
4736,5
3872,5
5153,5
7425,5
3137,5
8545,5
5697,5
933,5
6721,5
3905,5
2241,5
2883,5
2496,5
3008,5
296,5
3425,5
49,5
2272,5
259,5
4832,4
5506,4
2050,4
8512,4
8096,4
7203,4
1892,4
3968,4
6689,4
6560,4
2240,4
2019,4
3713,4
328,4
5475,4
1737,4
6916,4
359,4
5921,4
2465,4
6209,4
2660,4
6339,4
435,4
530,4
2085,4
1408,4
3842,4
6370,3
8129,3
1155,3
8321,3
199,3
6017,3
4707,3
7265,3
7202,3
6626,3
5762,3
8225,3
1925,3
6928,3
2211,3
1221,3
7424,3
2242,3
7553,3
1736,3
8320,3
786,3
2915,3
2051,3
7233,3
6050,3
5200,3
434,3
50,3
1347,3
2273,3
2610,3
4833,3
84,3
37,3
690,3
624,3
1600,2
162,2
3459,2
774,2
5189,2
6434,2
8609,2
1697,2
7361,2
5667,2
3939,2
6464,2
5601,2
1893,2
2213,2
7234,2
8098,2
659,2
