Act,Frequency
288,1055876
322,691749
290,627266
320,582965
0,488037
289,449601
321,291039
323,283920
291,202625
1,155731
384,106228
480,99786
514,92544
418,72415
385,67696
481,66602
512,63350
386,61635
416,49358
482,48074
515,35895
513,35878
4,33596
417,29179
419,28096
387,21860
483,17210
96,16296
192,15993
292,15842
193,15350
97,14555
294,11151
32,10915
352,8037
353,6492
326,6466
5,6368
33,6280
64,6230
324,6204
306,6168
576,5639
304,5566
293,5253
65,3653
577,3235
2,3105
545,2953
544,2894
390,2818
295,2609
388,2604
672,2457
36,2251
325,2212
768,2107
402,2064
448,2059
327,1988
449,1946
673,1905
769,1691
3,1680
484,1641
486,1555
310,1428
256,1403
16,1376
305,1367
34,1275
194,1264
160,1215
307,1205
400,1168
257,1153
98,1149
389,1097
129,1035
308,1014
161,1009
485,996
128,956
391,859
498,844
640,796
68,779
224,738
420,692
225,689
99,659
195,649
516,633
518,613
578,596
35,591
403,571
641,555
406,515
37,494
496,488
487,482
100,425
832,424
401,423
499,415
422,397
608,389
517,374
421,370
736,354
196,347
833,332
338,320
101,320
18,309
336,292
704,288
404,279
674,274
737,268
17,255
130,255
197,254
580,241
354,236
705,231
579,230
675,226
800,224
309,224
226,224
502,215
6,214
770,209
227,207
356,206
497,196
311,188
296,185
423,176
771,170
131,166
20,149
519,147
8,141
337,129
339,126
355,119
112,111
357,96
609,95
801,93
802,86
407,84
500,84
581,79
803,73
297,71
69,69
452,68
1728,66
706,59
405,54
548,50
772,50
503,49
453,47
208,44
451,44
2050,43
209,43
530,43
19,37
677,36
676,36
1729,36
80,36
2016,34
549,34
9,31
328,31
610,31
330,31
198,31
331,30
707,29
773,29
229,29
260,28
864,27
2914,27
21,26
102,24
298,24
1186,22
2017,22
528,22
368,22
2048,22
342,22
433,21
865,21
38,21
133,21
2018,20
113,20
329,20
501,20
3778,19
611,19
164,17
432,17
8064,16
48,16
709,16
2880,15
645,15
531,15
2592,15
592,15
434,15
116,15
299,15
7,14
8066,14
165,14
4642,12
450,12
1152,12
228,12
741,11
529,11
2019,11
7200,11
261,11
50,11
488,11
8098,10
3744,10
5506,10
708,10
369,9
593,9
561,9
340,9
341,9
7777,8
6048,8
40,7
3456,7
6370,7
6336,7
7202,7
2912,7
7776,7
560,7
1154,7
2882,7
3746,7
2051,7
359,7
114,6
41,6
4643,6
584,6
6338,6
596,6
5184,6
162,6
1184,6
211,6
7234,5
1153,5
258,5
2112,5
8065,5
689,5
2049,5
81,5
806,5
455,5
132,5
644,4
5474,4
4608,4
49,4
22,4
134,4
547,4
546,4
2915,4
3776,4
213,4
5472,4
2593,4
8067,4
4610,4
582,4
2240,4
595,4
5185,4
4320,4
6912,4
3010,4
688,4
464,4
787,4
804,4
103,4
3842,3
1732,3
2657,3
784,3
2209,3
2146,3
5473,3
3779,3
2210,3
117,3
10,3
343,3
39,3
2883,3
6913,3
2115,3
176,3
177,3
1792,3
1800,3
316,3
1158,3
200,3
115,3
8161,3
8096,3
6432,3
199,3
454,3
1250,2
7330,2
3874,2
8099,2
8160,2
212,2
7203,2
585,2
465,2
1346,2
6337,2
6049,2
3777,2
2913,2
5570,2
4706,2
4609,2
1187,2
2144,2
3104,2
785,2
1248,2
7297,2
5568,2
4704,2
302,2
690,2
1056,2
1072,2
613,2
805,2
435,2
490,2
836,2
678,2
740,1
1825,1
2976,1
4738,1
6562,1
5698,1
4834,1
66,1
5699,1
6563,1
7427,1
4641,1
2054,1
2023,1
6339,1
3105,1
775,1
774,1
7201,1
3747,1
594,1
7233,1
4321,1
3457,1
869,1
7781,1
6917,1
6053,1
5509,1
4645,1
3781,1
2917,1
1189,1
8101,1
7237,1
6369,1
6371,1
5507,1
2978,1
7298,1
6434,1
2979,1
8257,1
7792,1
1736,1
1280,1
3073,1
866,1
807,1
8083,1
7873,1
372,1
3745,1
2242,1
23,1
4739,1
5603,1
2211,1
786,1
6561,1
7424,1
2977,1
3841,1
4705,1
5569,1
2113,1
1249,1
3840,1
3074,1
3938,1
4802,1
7296,1
3107,1
8289,1
4611,1
5188,1
1733,1
2147,1
2208,1
54,1
8162,1
2496,1
1441,1
51,1
1760,1
2624,1
210,1
360,1
