Act,Frequency
0,1437436
288,751850
1,507119
290,432578
322,404647
289,375118
320,308683
291,225571
323,212858
4,172975
321,166299
384,125068
64,124324
480,105476
2,89578
65,71289
385,71074
481,63542
16,60636
386,56645
418,52350
576,48346
96,46650
5,41692
482,39882
192,38810
416,38510
18,36929
514,36233
387,34531
97,34265
352,33984
512,31812
419,30756
193,30237
3,30013
483,28241
515,25459
417,25260
353,23391
513,22104
577,21902
68,20413
672,18276
80,16722
768,16680
578,13853
257,13168
673,12823
292,12113
32,11911
161,11818
769,11717
256,11451
640,11264
544,11253
545,10835
160,10616
448,10381
449,9251
33,8274
17,7494
98,7148
641,6875
674,6021
293,5985
99,5875
195,5321
194,5290
579,5235
770,5090
736,4396
832,4285
1728,3823
675,3720
737,3719
294,3422
833,3387
771,3289
69,3192
304,3136
306,3130
2592,2795
864,2584
19,2453
3456,2269
34,1988
129,1973
656,1909
295,1871
356,1758
388,1688
1729,1630
704,1576
610,1569
307,1555
128,1546
608,1545
338,1495
326,1451
354,1377
389,1321
592,1292
100,1259
706,1218
35,1210
705,1195
800,1194
81,1176
305,1175
485,1162
225,1160
66,1132
484,1102
580,1081
802,1045
131,1042
6,1042
2016,1023
707,1017
196,995
4320,970
101,965
224,917
865,913
368,843
801,833
197,823
1792,796
355,775
336,739
327,735
2593,687
324,687
357,673
803,669
8640,664
130,662
928,657
227,652
390,652
2656,610
1152,605
48,598
112,594
339,586
609,566
2017,561
3457,552
67,545
644,538
848,533
272,528
752,507
2018,500
611,488
7,485
548,465
226,456
3520,450
1154,422
2880,420
486,415
581,414
593,412
50,409
176,408
82,405
208,403
5184,394
325,355
2048,354
337,350
391,348
546,347
260,344
2019,313
7776,310
549,304
452,297
3744,288
594,285
496,284
2050,283
560,282
400,275
402,272
464,263
450,255
164,251
261,247
676,246
113,230
688,228
1793,225
1155,224
6048,218
422,218
453,216
4608,213
20,209
1153,208
8,206
645,205
209,200
657,199
451,195
6912,190
4321,189
165,186
487,186
784,186
547,178
772,177
401,162
296,161
36,156
677,155
162,151
114,150
2881,146
423,144
403,141
2049,138
2882,137
498,136
273,134
210,131
1731,125
929,123
497,118
102,116
773,115
1184,112
369,112
9,111
103,110
2657,108
499,105
4384,104
1730,102
3746,101
22,98
2914,95
2912,94
753,91
867,89
642,88
3745,88
740,87
1888,86
3776,86
849,86
1984,85
582,85
49,84
177,84
785,84
3521,81
689,81
1921,81
258,81
866,80
259,77
5472,76
1824,74
2208,74
2112,71
163,70
2304,69
115,69
2596,69
3460,69
2080,68
595,67
4610,67
1186,66
1825,64
1985,64
2051,63
5185,63
310,62
3778,61
4640,61
741,61
2944,60
211,59
690,58
4609,57
1920,57
1216,55
4642,55
51,54
7840,54
868,53
3168,53
432,52
2848,51
8064,51
308,51
516,51
297,51
434,50
561,49
2209,49
358,48
7777,47
1185,47
2976,47
37,46
3840,45
2368,45
837,45
3072,45
1889,44
1120,43
199,42
465,42
4896,41
3808,41
1344,41
420,41
2752,40
2113,40
2883,40
643,40
530,40
6336,39
4032,39
198,39
2211,39
786,38
517,38
1732,37
2688,37
84,37
435,36
421,35
2913,35
836,35
518,35
433,34
3747,34
583,34
299,33
2114,31
7200,31
2977,31
3841,31
4704,31
5474,31
834,30
359,30
2785,29
3552,29
1346,29
1440,29
2210,29
2176,29
932,28
3936,28
738,28
2081,27
2784,27
3073,27
298,27
787,26
2272,26
4385,26
